1585922624 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1585922624  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
1585922692  0  0      0 393020  23060 420552    0    0     0     0   29  106  0  0 100  0  0
1585922693  0  0      0 393052  23068 420552    0    0     0    44   39  119  0  0 100  0  0
1585922694  0  0      0 393052  23068 420552    0    0     0     0   34  190  1  1 98  0  0
1585922695  0  0      0 393052  23068 420552    0    0     0     0   39  137  0  0 100  0  0
1585922696  0  0      0 393060  23068 420552    0    0     0     0   25   97  0  0 100  0  0
1585922697  0  0      0 393092  23068 420552    0    0     0     0   34  190  0  0 100  0  0
1585922698  0  0      0 393092  23076 420552    0    0     0    12   33  107  0  0 99  1  0
1585922699  0  0      0 393092  23076 420552    0    0     0     0   27  104  0  1 99  0  0
1585922700  0  0      0 393092  23076 420552    0    0     0     0   35  199  1  0 99  0  0
1585922701  0  0      0 393092  23076 420552    0    0     0    16   40  118  0  0 100  0  0
1585922702  0  0      0 393084  23076 420552    0    0     0     0   34  118  0  0 100  0  0
1585922703  0  0      0 393116  23084 420552    0    0     0    28   43  250  0  0 100  0  0
1585922704  0  0      0 393116  23084 420552    0    0     0     0   32  112  0  0 100  0  0
1585922705  0  0      0 393116  23084 420556    0    0     0     0   35  133  0  0 100  0  0
1585922706  0  0      0 393116  23084 420556    0    0     0     0   36  250  0  1 98  0  1
1585922707  0  0      0 393116  23084 420556    0    0     0     0   34  116  1  0 99  0  0
1585922708 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1585922708  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
1585922708  1  0      0 393156  23092 420556    0    0     0    28   46  137  0  0 100  0  0
1585922709  0  0      0 393156  23092 420556    0    0     0     0   38  245  1  1 98  0  0
1585922710  0  0      0 393156  23092 420556    0    0     0     0   27  101  0  0 100  0  0
1585922711  0  0      0 393156  23092 420556    0    0     0     0   36  122  0  0 100  0  0
1585922712  0  0      0 393188  23092 420556    0    0     0     0   36  241  1  0 99  0  0
1585922713  0  0      0 393188  23100 420556    0    0     0    20   35  115  0  1 99  0  0
1585922714  0  0      0 393188  23100 420556    0    0     0     0   35  114  0  1 99  0  0
1585922715  0  0      0 393104  23100 420556    0    0     0     0   54  287  0  0 100  0  0
1585922716  0  0      0 393104  23100 420556    0    0     0    44   40  121  0  0 100  0  0
1585922717  0  0      0 393104  23100 420556    0    0     0     0   27  100  0  0 100  0  0
1585922718  0  0      0 393136  23108 420584    0    0    24    12   74  374  2  1 97  0  0
1585922719  0  0      0 393136  23108 420584    0    0     0     0   28   98  0  0 100  0  0
1585922720  0  0      0 393136  23108 420584    0    0     0     0   27  101  0  0 100  0  0
1585922721  0  0      0 393168  23108 420584    0    0     0     0   47  268  0  1 99  0  0
1585922722  0  0      0 393184  23108 420584    0    0     0     0   40  125  1  0 99  0  0
1585922723  0  0      0 393184  23116 420584    0    0     0    28   35  108  0  0 99  1  0
1585922724  0  0      0 393184  23116 420584    0    0     0     0   36  242  0  0 100  0  0
1585922725  0  0      0 393184  23116 420584    0    0     0     0   30  116  0  1 99  0  0
1585922726  0  0      0 393184  23116 420584    0    0     0     8   35  109  1  0 99  0  0
1585922727  0  0      0 393216  23116 420584    0    0     0     0   46  250  0  0 100  0  0
1585922728  0  0      0 393208  23124 420584    0    0     0    20   40  123  0  0 100  0  0
1585922729 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1585922729  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
1585922729  1  0      0 393208  23124 420584    0    0     0     0   33  111  0  1 99  0  0
1585922730  3  0      0 392200  23124 420584    0    0     0     0   53  296  2  0 98  0  0
1585922731  0  0      0 393116  23124 420584    0    0     0     0   43  189  0  0 100  0  0
1585922732  0  0      0 393148  23124 420584    0    0     0     0   34  125  0  0 100  0  0
1585922733  0  0      0 393272  23132 420584    0    0     0    36   42  245  0  1 99  0  0
1585922734  0  0      0 393280  23132 420584    0    0     0     0   34  113  1  0 99  0  0
1585922735  0  0      0 393280  23132 420584    0    0     0     0   35  126  0  0 100  0  0
1585922736  0  0      0 393120  23132 420584    0    0     0     0   34  240  0  1 99  0  0
1585922737  0  0      0 392996  23132 420584    0    0     0     0   28  103  0  1 99  0  0
