1585505361-0000-000|1499300288757556|1499300717600380|428842824|1585505362|00438523
1585505361-0000-000|1499300733070880|1499301138283945|405213065|1585505362|00410507
1585505361-0000-000|1499301153716270|1499301561327640|407611370|1585505363|00412917
1585505361-0000-000|1499301576737509|1499301991577507|414839998|1585505363|00420276
1585505361-0000-000|1499302006964966|1499302419087228|412122262|1585505364|00417200
1585505361-0000-000|1499302437644182|1499302834686193|397042011|1585505364|00405539
1585505361-0000-000|1499302850299627|1499303255666736|405367109|1585505364|00410707
1585505361-0000-000|1499303272348254|1499303700996875|428648621|1585505365|00435269
1585505361-0000-000|1499303716376137|1499304121187167|404811030|1585505365|00409998
1585505361-0000-000|1499304136652256|1499304554299242|417646986|1585505366|00423106
1585505361-0000-000|1499304569854558|1499304976841452|406986894|1585505366|00412282
1585505361-0000-000|1499304993279430|1499305409009413|415729983|1585505367|00422034
1585505361-0000-000|1499305426943099|1499305849679128|422736029|1585505367|00430538
1585505361-0000-000|1499305865340601|1499306292896157|427555556|1585505368|00433162
1585505361-0000-000|1499306308316163|1499306718697204|410381041|1585505368|00415688
1585505361-0000-000|1499306734805037|1499307144927867|410122830|1585505368|00416106
1585505361-0000-000|1499307160408920|1499307564333965|403925045|1585505369|00409242
1585505361-0000-000|1499307579475795|1499307983538202|404062407|1585505369|00408964
1585505361-0000-000|1499307998803562|1499308406933432|408129870|1585505370|00413359
1585505361-0000-000|1499308423588779|1499308826740087|403151308|1585505370|00409632
1585505361-0000-000|1499308842338158|1499309249893874|407555716|1585505370|00412952
1585505361-0000-000|1499309265411611|1499309703010215|437598604|1585505371|00443020
1585505361-0000-000|1499309718895100|1499310118040803|399145703|1585505371|00404857
1585505361-0000-000|1499310133507411|1499310551046525|417539114|1585505372|00422818
1585505361-0000-000|1499310566116419|1499310968491414|402374995|1585505372|00407311
1585505361-0000-000|1499310983606663|1499311390464171|406857508|1585505373|00411982
1585505361-0000-000|1499311406781098|1499311806698403|399917305|1585505373|00406056
1585505361-0000-000|1499311822230007|1499312228857041|406627034|1585505373|00411917
1585505361-0000-000|1499312244261881|1499312647022612|402760731|1585505374|00408144
1585505361-0000-000|1499312662435510|1499313088203625|425768115|1585505374|00430992
1585505361-0000-000|1499313105735636|1499313510134240|404398604|1585505375|00411852
1585505361-0000-000|1499313525533606|1499313932847838|407314232|1585505375|00412451
1585505361-0000-000|1499313948902313|1499314359776018|410873705|1585505376|00416901
1585505361-0000-000|1499314377084262|1499314781914355|404830093|1585505376|00412072
1585505361-0000-000|1499314797231323|1499315196943744|399712421|1585505376|00404807
1585505361-0000-000|1499315212460678|1499315617376480|404915802|1585505377|00410387
1585505361-0000-000|1499315633225387|1499316052147867|418922480|1585505377|00424564
1585505361-0000-000|1499316067214409|1499316478521505|411307096|1585505378|00416232
1585505361-0000-000|1499316493809024|1499316906412616|412603592|1585505378|00417707
1585505361-0000-000|1499316921625077|1499317336519641|414894564|1585505379|00420066
1585505361-0000-000|1499317355083472|1499317771607936|416524464|1585505379|00424917
1585505361-0000-000|1499317787040729|1499318237396701|450355972|1585505379|00455715
1585505361-0000-000|1499318253223456|1499318665789669|412566213|1585505380|00418251
1585505361-0000-000|1499318681596498|1499319096742076|415145578|1585505380|00420668
1585505361-0000-000|1499319112287908|1499319525131199|412843291|1585505381|00418162
1585505361-0000-000|1499319540280787|1499319960646679|420365892|1585505381|00425514
1585505361-0000-000|1499319975761386|1499320385260304|409498918|1585505382|00414516
1585505361-0000-000|1499320401189136|1499320807233591|406044455|1585505382|00411833
1585505361-0000-000|1499320822503379|1499321231226502|408723123|1585505382|00413910
1585505361-0000-000|1499321246708890|1499321671954292|425245402|1585505383|00430484
1585505361-0000-000|1499321687268853|1499322100571997|413303144|1585505383|00418537
1585505361-0000-000|1499322115881899|1499322527939406|412057507|1585505384|00417225
1585505361-0000-000|1499322543335203|1499322946276446|402941243|1585505384|00408066
1585505361-0000-000|1499322961763239|1499323382365593|420602354|1585505385|00426156
1585505361-0000-000|1499323400377637|1499323816569450|416191813|1585505385|00423927
1585505361-0000-000|1499323832199549|1499324241475632|409276083|1585505385|00414806
1585505361-0000-000|1499324256902580|1499324702728443|445825863|1585505386|00451122
1585505361-0000-000|1499324717985275|1499325120884219|402898944|1585505386|00407983
1585505361-0000-000|1499325136155882|1499325537987164|401831282|1585505387|00406898
1585505361-0000-000|1499325553416191|1499325965609718|412193527|1585505387|00417441
1585505361-0000-000|1499325981027890|1499326386879893|405852003|1585505388|00411224
1585505361-0000-000|1499326403130537|1499326802187277|399056740|1585505388|00405083
1585505361-0000-000|1499326817519394|1499327228385078|410865684|1585505388|00416137
1585505361-0000-000|1499327244240279|1499327649105457|404865178|1585505389|00410659
1585505361-0000-000|1499327664536524|1499328066667917|402131393|1585505389|00407317
1585505361-0000-000|1499328082031816|1499328482399830|400368014|1585505390|00405530
1585505361-0000-000|1499328497848322|1499328898599109|400750787|1585505390|00406117
1585505361-0000-000|1499328914537853|1499329324623787|410085934|1585505391|00415801
1585505361-0000-000|1499329340648574|1499329739366656|398718082|1585505391|00404662
1585505361-0000-000|1499329754830439|1499330170137769|415307330|1585505391|00420657
1585505361-0000-000|1499330185663607|1499330603989377|418325770|1585505392|00423714
1585505361-0000-000|1499330619064884|1499331027490484|408425600|1585505392|00413332
1585505361-0000-000|1499331043115181|1499331463336527|420221346|1585505393|00425773
1585505361-0000-000|1499331478807246|1499331898093736|419286490|1585505393|00424585
1585505361-0000-000|1499331914406057|1499332332740537|418334480|1585505394|00424468
