1585489965-0000-000|1483904194899750|1483904197563874|2664124|00012172
1585489965-0000-000|1483904253282397|1483904255926175|2643778|00008294
1585489965-0000-000|1483904313127941|1483904316197384|3069443|00010024
1585489965-0000-000|1483904371714792|1483904374471742|2756950|00008106
1585489965-0000-000|1483904430245624|1483904433146443|2900819|00008531
1585489965-0000-000|1483904489359933|1483904492540756|3180823|00009291
1585489965-0000-000|1483904547973493|1483904550815973|2842480|00008138
1585489965-0000-000|1483904608252324|1483904612288070|4035746|00011383
1585489965-0000-000|1483904668575337|1483904671530213|2954876|00009027
1585489965-0000-000|1483904728465074|1483904732070582|3605508|00010389
1585489965-0000-000|1483904787719145|1483904790575019|2855874|00008300
1585489965-0000-000|1483904846410788|1483904849145663|2734875|00008326
1585489965-0000-000|1483904905262079|1483904909305502|4043423|00010186
1585489965-0000-000|1483904965508274|1483904968198971|2690697|00008490
1585489965-0000-000|1483905023689329|1483905028671431|4982102|00010373
1585489965-0000-000|1483905084436548|1483905087123893|2687345|00008268
1585489965-0000-000|1483905144260912|1483905147241455|2980543|00009985
1585489965-0000-000|1483905202489421|1483905205134118|2644697|00007609
1585489965-0000-000|1483905260734795|1483905263436815|2702020|00008302
1585489965-0000-000|1483905318998295|1483905321720012|2721717|00007992
1585489965-0000-000|1483905377422399|1483905380198589|2776190|00008347
1585489965-0000-000|1483905435750728|1483905438607435|2856707|00008222
1585489965-0000-000|1483905494219742|1483905496988017|2768275|00008138
1585489965-0000-000|1483905552316241|1483905554935906|2619665|00007856
1585489965-0000-000|1483905610401157|1483905613092863|2691706|00008075
1585489965-0000-000|1483905668763047|1483905671444471|2681424|00008127
1585489965-0000-000|1483905727017227|1483905729761439|2744212|00008129
1585489965-0000-000|1483905785500230|1483905788349234|2849004|00008482
1585489965-0000-000|1483905843930922|1483905846817048|2886126|00008330
1585489965-0000-000|1483905902517438|1483905905494921|2977483|00008404
1585489965-0000-000|1483905960994284|1483905963861633|2867349|00008386
1585489965-0000-000|1483906019660139|1483906022494664|2834525|00008395
1585489965-0000-000|1483906078053762|1483906080721984|2668222|00008016
1585489965-0000-000|1483906136495059|1483906139132007|2636948|00008224
1585489965-0000-000|1483906194570839|1483906197336485|2765646|00008077
1585489965-0000-000|1483906254427308|1483906258098928|3671620|00010755
1585489965-0000-000|1483906314036637|1483906317130512|3093875|00008702
1585489965-0000-000|1483906372975037|1483906375765613|2790576|00008514
1585489965-0000-000|1483906431301651|1483906434929656|3628005|00009026
1585489965-0000-000|1483906490594608|1483906493266639|2672031|00008204
1585489965-0000-000|1483906548894666|1483906551796205|2901539|00008432
1585489965-0000-000|1483906607492637|1483906610340651|2848014|00008278
1585489965-0000-000|1483906666277430|1483906668957207|2679777|00008424
1585489965-0000-000|1483906724545779|1483906727140020|2594241|00007966
1585489965-0000-000|1483906782601774|1483906785448446|2846672|00008247
1585489965-0000-000|1483906841002021|1483906843601283|2599262|00007896
1585489965-0000-000|1483906899242609|1483906901896380|2653771|00008087
1585489965-0000-000|1483906959158515|1483906963035653|3877138|00011129
1585489965-0000-000|1483907020120095|1483907023082567|2962472|00009780
1585489965-0000-000|1483907079264488|1483907082347540|3083052|00009235
1585489965-0000-000|1483907139093045|1483907142089909|2996864|00009391
1585489965-0000-000|1483907197859447|1483907200490754|2631307|00008252
1585489965-0000-000|1483907256155167|1483907258836342|2681175|00008260
1585489965-0000-000|1483907315457974|1483907318619267|3161293|00009615
1585489965-0000-000|1483907374238870|1483907377072295|2833425|00008184
1585489965-0000-000|1483907432845408|1483907435532201|2686793|00008309
1585489965-0000-000|1483907491247564|1483907493950337|2702773|00008277
1585489965-0000-000|1483907549657810|1483907552308989|2651179|00008174
1585489965-0000-000|1483907608760931|1483907611393793|2632862|00008025
1585489965-0000-000|1483907667764037|1483907670768544|3004507|00009221
1585489965-0000-000|1483907727128644|1483907730287445|3158801|00009405
1585489965-0000-000|1483907787263855|1483907790910984|3647129|00010582
1585489965-0000-000|1483907846603093|1483907849289837|2686744|00007977
1585489965-0000-000|1483907904830378|1483907907535260|2704882|00008143
1585489965-0000-000|1483907963315344|1483907966110195|2794851|00008372
1585489965-0000-000|1483908021698850|1483908024497810|2798960|00008255
1585489965-0000-000|1483908079974296|1483908082793903|2819607|00008130
1585489965-0000-000|1483908139127011|1483908141970299|2843288|00009008
1585489965-0000-000|1483908197421326|1483908200165464|2744138|00008082
1585489965-0000-000|1483908255940116|1483908259359141|3419025|00009031
1585489965-0000-000|1483908316510064|1483908320194333|3684269|00010698
1585489965-0000-000|1483908376127432|1483908378886648|2759216|00008542
1585489965-0000-000|1483908434567269|1483908437357720|2790451|00008306
1585489965-0000-000|1483908494162457|1483908497125546|2963089|00009642
1585489965-0000-000|1483908552838744|1483908555606462|2767718|00008304
1585489965-0000-000|1483908612145824|1483908614989218|2843394|00008984
1585489965-0000-000|1483908670959558|1483908673858499|2898941|00008761
1585489965-0000-000|1483908729582814|1483908732350860|2768046|00008316
1585489965-0000-000|1483908787917977|1483908790574577|2656600|00007968
1585489965-0000-000|1483908846273102|1483908849040283|2767181|00008396
1585489965-0000-000|1483908904756364|1483908907537872|2781508|00008302
1585489965-0000-000|1483908963005166|1483908965672773|2667607|00007888
1585489965-0000-000|1483909021143905|1483909023731429|2587524|00007908
1585489965-0000-000|1483909080799486|1483909084587137|3787651|00010901
1585489965-0000-000|1483909140316658|1483909142981508|2664850|00008055
1585489965-0000-000|1483909198452744|1483909201205017|2752273|00008064
1585489965-0000-000|1483909256967274|1483909259799036|2831762|00008494
