X Threads ServerTime TotalTime
1 1 28.86161249 28.85816
2 2 57.024710295 60.094195
3 3 86.40466032 91.786106666667
4 4 123.587730095 133.6491025
5 5 139.823876106 159.679756
6 6 140.87275477167 190.602555
7 7 154.79669699143 245.52058857143
8 8 146.99765338625 264.38516
9 9 149.47626766889 302.89846444444
10 10 143.470565482 323.562702
11 11 145.8366977 361.23993363636
12 12 144.45327433333 392.28999083333
13 13 146.17323301154 429.25775230769
14 14 144.390446995 458.84282
15 15 147.71266667467 498.37425533333
16 16 145.79584915438 527.382309375
17 17 144.42760438706 553.16589294118
18 18 144.54072252556 591.19366666667
19 19 146.54165975895 633.92670526316
20 20 150.0530740975 678.642124
